total,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
71.89,99.12,41.48,43.98,37.29,46.38,53.85
76.57,100.00,99.15,50.64,55.24,44.75,51.54,70.20
79.04,100.00,99.16,55.09,60.71,50.53,57.12,74.55
80.69,100.00,99.23,57.94,64.40,53.28,60.61,77.91
81.85,100.00,99.23,59.89,67.08,55.62,62.83,80.50
82.82,100.00,99.25,61.75,69.16,57.16,64.51,82.91,100.00
83.71,100.00,99.27,63.44,71.00,58.80,66.31,84.40,100.00
84.40,100.00,99.28,64.68,72.40,60.10,67.73,85.92,100.00
85.00,100.00,99.30,65.74,73.59,61.52,69.11,86.85,100.00
85.55,100.00,99.30,66.76,74.76,62.64,70.17,87.39,100.00
86.01,100.00,99.32,67.63,75.73,63.67,71.13,88.35,100.00
86.48,100.00,99.33,68.57,76.66,64.58,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
86.48,100.00,99.33,68.58,76.66,64.56,71.96,89.12,100.00
